"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"65434ae68761c89a3e8e4a5c30f8b840","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA
"fa062b3f86de242e5d3f65a25b7022b4","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"bcbe22448b8ffd9301a79ef464e42075","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",NA
"7f58f578072cd761e47960fb8f1ba460","d__Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9","JG30-KF-AS9",NA
"1dc4ae6356a56b77d1f3279d9c0b6734","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"e4913c16b3a161bf0801a42a555d226c","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"c2ecc21823971d09fd85b571969b3c0c","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"31b0792dec2cb4cf38084050180e6dd7","d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",NA
"091a11661183530ff9f798bb433ebb0e","d__Bacteria",NA,NA,NA,NA,NA,NA
"0be892147184d6e44e06140233122529","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"209377e0d76ff03477e963d24c5e532a","d__Bacteria","Acidobacteriota","Blastocatellia",NA,NA,NA,NA
"462281f047a8beeef602ee6c72822f21","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"6cc0af626981ccf6d5f551818f6c089a","d__Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1959-1",NA
"1c8a824757c6fc42f71a85363dacc777","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA
"f8ba32809464281c2a60414506185405","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"0dd6301c613f29b4f920ad287e4be407","d__Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45",NA
"2edd058b24b3131fb35b41a433d4afa9","d__Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA
"8ca82810dacef886363f1ed6223819c4","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"9dcb8f0d90a5af30641a57b96a3ff1a2","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"eb034094bf8847c352554015dff2548e","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e8d71ab793bea661890519ccc8dd32e7","d__Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"b99b541e81a520d8000dde9259021fd3","d__Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",NA
"f1c8a906ce49375fc4e28d440cbc35de","Unassigned",NA,NA,NA,NA,NA,NA
"b52f619764293c6f4bc02e84e94a2b35","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Neisseria",NA
"1f5d3483d6d5f9a5f7a187c4b6b7f9d1","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","1174-901-12",NA
"b1777799086103ceeea134a269a9507c","d__Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","RBG-13-54-9","RBG-13-54-9",NA
"eb8f574df6efe7ca744d5419fb7259ef","d__Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"e88232beb50e968b52a48914baa6a8e2","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"bb38d23cc6eece9dad8db8ad3fbebc9a","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Euryhalocaulis",NA
"15d5472c6f85085cc1020e26141ec43d","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Caldibacillus",NA
"8d2bb97663ba403dfbe3b4f34cb428a5","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"2661a055eb0978463d186ae39af6b74f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"3bde2bffd31a4811f565479b57ff3f24","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"6909a5ea4940b5facfa786692af45a11","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Dietziaceae","Dietzia",NA
"b73a341f4195817c9958f38f33296f26","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA
"df2bc5cb3e95278d48759df76b0cac49","d__Archaea","Halobacterota","Halobacteria","Halobacterales","Halococcaceae",NA,NA
